"Scenario","Region","Variable","Type","Year","Value"
"Current Measures","Northwest Territories","Oil","Primary Fuel",2021,159
"Global Net-zero","Northwest Territories","Oil","Primary Fuel",2021,159
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2021,2.015
"Current Measures","Northwest Territories","Solar","Primary Fuel",2021,2.015
"Global Net-zero","Northwest Territories","Solar","Primary Fuel",2021,2.015
"Canada Net-zero","Northwest Territories","Wind","Primary Fuel",2021,9.2
"Current Measures","Northwest Territories","Wind","Primary Fuel",2021,9.2
"Global Net-zero","Northwest Territories","Wind","Primary Fuel",2021,9.2
"Current Measures","Nunavut","Biomass / Geothermal","Primary Fuel",2021,0
"Canada Net-zero","Nunavut","Oil","Primary Fuel",2021,62.28
"Current Measures","Nunavut","Oil","Primary Fuel",2021,62.28
"Global Net-zero","Nunavut","Oil","Primary Fuel",2021,62.28
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2021,0.033
"Current Measures","Nunavut","Solar","Primary Fuel",2021,0.033
"Global Net-zero","Nunavut","Solar","Primary Fuel",2021,0.033
"Canada Net-zero","Nunavut","Wind","Primary Fuel",2021,0
"Current Measures","Nunavut","Wind","Primary Fuel",2021,0
"Global Net-zero","Nunavut","Wind","Primary Fuel",2021,0
"Canada Net-zero","Ontario","Biomass / Geothermal","Primary Fuel",2021,698.62
"Current Measures","Ontario","Biomass / Geothermal","Primary Fuel",2021,698.62
"Global Net-zero","Ontario","Biomass / Geothermal","Primary Fuel",2021,698.62
"Canada Net-zero","Ontario","Hydro / Wave / Tidal","Primary Fuel",2021,9263.68
"Current Measures","Ontario","Hydro / Wave / Tidal","Primary Fuel",2021,9263.68
"Global Net-zero","Ontario","Hydro / Wave / Tidal","Primary Fuel",2021,9263.68
"Canada Net-zero","Ontario","Natural Gas","Primary Fuel",2021,8730.91
"Current Measures","Ontario","Natural Gas","Primary Fuel",2021,8730.91
"Global Net-zero","Ontario","Natural Gas","Primary Fuel",2021,8730.91
"Canada Net-zero","Ontario","Oil","Primary Fuel",2021,250.45
"Current Measures","Ontario","Oil","Primary Fuel",2021,250.45
"Global Net-zero","Ontario","Oil","Primary Fuel",2021,250.45
"Canada Net-zero","Ontario","Solar","Primary Fuel",2021,2669.46
"Current Measures","Ontario","Solar","Primary Fuel",2021,2669.46
"Global Net-zero","Ontario","Solar","Primary Fuel",2021,2669.46
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2021,12380
"Current Measures","Ontario","Uranium","Primary Fuel",2021,12380
"Global Net-zero","Ontario","Uranium","Primary Fuel",2021,12380
"Canada Net-zero","Ontario","Wind","Primary Fuel",2021,5575.45
"Current Measures","Ontario","Wind","Primary Fuel",2021,5575.45
"Global Net-zero","Ontario","Wind","Primary Fuel",2021,5575.45
"Canada Net-zero","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2021,2.1
"Current Measures","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2021,2.1
"Global Net-zero","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2021,2.1
"Canada Net-zero","Prince Edward Island","Oil","Primary Fuel",2021,170.45
"Current Measures","Prince Edward Island","Oil","Primary Fuel",2021,170.45
"Global Net-zero","Prince Edward Island","Oil","Primary Fuel",2021,170.45
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2021,0
"Current Measures","Prince Edward Island","Solar","Primary Fuel",2021,0
"Global Net-zero","Prince Edward Island","Solar","Primary Fuel",2021,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2021,0
"Global Net-zero","Prince Edward Island","Uranium","Primary Fuel",2021,0
"Canada Net-zero","Prince Edward Island","Wind","Primary Fuel",2021,268.28
"Current Measures","Prince Edward Island","Wind","Primary Fuel",2021,268.28
"Global Net-zero","Prince Edward Island","Wind","Primary Fuel",2021,268.28
"Canada Net-zero","Quebec","Biomass / Geothermal","Primary Fuel",2021,326.39
"Current Measures","Quebec","Biomass / Geothermal","Primary Fuel",2021,326.39
"Global Net-zero","Quebec","Biomass / Geothermal","Primary Fuel",2021,326.39
"Canada Net-zero","Quebec","Hydro / Wave / Tidal","Primary Fuel",2021,41486.87
"Current Measures","Quebec","Hydro / Wave / Tidal","Primary Fuel",2021,41486.87
"Global Net-zero","Quebec","Hydro / Wave / Tidal","Primary Fuel",2021,41486.87
"Canada Net-zero","Quebec","Natural Gas","Primary Fuel",2021,591.05
"Current Measures","Quebec","Natural Gas","Primary Fuel",2021,591.05
"Global Net-zero","Quebec","Natural Gas","Primary Fuel",2021,591.05
"Canada Net-zero","Quebec","Oil","Primary Fuel",2021,311.04
"Current Measures","Quebec","Oil","Primary Fuel",2021,311.04
"Global Net-zero","Quebec","Oil","Primary Fuel",2021,311.04
"Canada Net-zero","Quebec","Solar","Primary Fuel",2021,0.297
"Current Measures","Quebec","Solar","Primary Fuel",2021,0.297
"Global Net-zero","Quebec","Solar","Primary Fuel",2021,0.297
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2021,0
"Global Net-zero","Quebec","Uranium","Primary Fuel",2021,0
"Canada Net-zero","Quebec","Wind","Primary Fuel",2021,4362.57
"Current Measures","Quebec","Wind","Primary Fuel",2021,4362.57
"Global Net-zero","Quebec","Wind","Primary Fuel",2021,4362.57
"Canada Net-zero","Saskatchewan","Biomass / Geothermal","Primary Fuel",2021,36
"Current Measures","Saskatchewan","Biomass / Geothermal","Primary Fuel",2021,36
"Global Net-zero","Saskatchewan","Biomass / Geothermal","Primary Fuel",2021,36
"Canada Net-zero","Saskatchewan","Coal & Coke","Primary Fuel",2021,1535
"Current Measures","Saskatchewan","Coal & Coke","Primary Fuel",2021,1535
"Global Net-zero","Saskatchewan","Coal & Coke","Primary Fuel",2021,1535
"Canada Net-zero","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2021,889.06
"Current Measures","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2021,889.06
"Global Net-zero","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2021,889.06
"Canada Net-zero","Saskatchewan","Natural Gas","Primary Fuel",2021,1839.95
"Current Measures","Saskatchewan","Natural Gas","Primary Fuel",2021,1839.95
"Global Net-zero","Saskatchewan","Natural Gas","Primary Fuel",2021,1839.95
"Canada Net-zero","Saskatchewan","Oil","Primary Fuel",2021,16.955
"Current Measures","Saskatchewan","Oil","Primary Fuel",2021,16.955
"Global Net-zero","Saskatchewan","Oil","Primary Fuel",2021,16.955
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2021,64
"Current Measures","Saskatchewan","Solar","Primary Fuel",2021,64
"Global Net-zero","Saskatchewan","Solar","Primary Fuel",2021,64
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2021,0
"Global Net-zero","Saskatchewan","Uranium","Primary Fuel",2021,0
"Canada Net-zero","Saskatchewan","Wind","Primary Fuel",2021,221.18
"Current Measures","Saskatchewan","Wind","Primary Fuel",2021,221.18
"Global Net-zero","Saskatchewan","Wind","Primary Fuel",2021,221.18
"Canada Net-zero","Yukon","Biomass / Geothermal","Primary Fuel",2021,0.5
"Current Measures","Yukon","Biomass / Geothermal","Primary Fuel",2021,0.5
"Global Net-zero","Yukon","Biomass / Geothermal","Primary Fuel",2021,0.5
"Canada Net-zero","Yukon","Hydro / Wave / Tidal","Primary Fuel",2021,94.5
"Current Measures","Yukon","Hydro / Wave / Tidal","Primary Fuel",2021,94.5
"Global Net-zero","Yukon","Hydro / Wave / Tidal","Primary Fuel",2021,94.5
"Canada Net-zero","Yukon","Natural Gas","Primary Fuel",2021,19.8
"Current Measures","Yukon","Natural Gas","Primary Fuel",2021,19.8
"Global Net-zero","Yukon","Natural Gas","Primary Fuel",2021,19.8
"Canada Net-zero","Yukon","Oil","Primary Fuel",2021,24.57
"Current Measures","Yukon","Oil","Primary Fuel",2021,24.57
"Global Net-zero","Yukon","Oil","Primary Fuel",2021,24.57
"Canada Net-zero","Yukon","Solar","Primary Fuel",2021,0.044
"Current Measures","Yukon","Solar","Primary Fuel",2021,0.044
"Global Net-zero","Yukon","Solar","Primary Fuel",2021,0.044
"Canada Net-zero","Yukon","Wind","Primary Fuel",2021,0.81
"Current Measures","Yukon","Wind","Primary Fuel",2021,0.81
"Global Net-zero","Yukon","Wind","Primary Fuel",2021,0.81
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2022,285.65
"Current Measures","Alberta","Biomass / Geothermal","Primary Fuel",2022,285.65
"Global Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2022,285.65
"Canada Net-zero","Alberta","Coal & Coke","Primary Fuel",2022,1636
"Current Measures","Alberta","Coal & Coke","Primary Fuel",2022,1636
"Global Net-zero","Alberta","Coal & Coke","Primary Fuel",2022,1636
"Canada Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2022,894.35
"Current Measures","Alberta","Hydro / Wave / Tidal","Primary Fuel",2022,894.35
"Global Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2022,894.35
"Canada Net-zero","Alberta","Natural Gas","Primary Fuel",2022,9866.48
"Current Measures","Alberta","Natural Gas","Primary Fuel",2022,9866.48
"Global Net-zero","Alberta","Natural Gas","Primary Fuel",2022,9866.48
"Canada Net-zero","Alberta","Oil","Primary Fuel",2022,7.14999999999999
"Current Measures","Alberta","Oil","Primary Fuel",2022,7.15
"Global Net-zero","Alberta","Oil","Primary Fuel",2022,7.15
"Canada Net-zero","Alberta","Solar","Primary Fuel",2022,949
"Current Measures","Alberta","Solar","Primary Fuel",2022,949
"Global Net-zero","Alberta","Solar","Primary Fuel",2022,949
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2022,0
"Global Net-zero","Alberta","Uranium","Primary Fuel",2022,0
"Canada Net-zero","Alberta","Wind","Primary Fuel",2022,2848.56
"Current Measures","Alberta","Wind","Primary Fuel",2022,2848.56
"Global Net-zero","Alberta","Wind","Primary Fuel",2022,2848.56
"Canada Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2022,979.05
"Current Measures","British Columbia","Biomass / Geothermal","Primary Fuel",2022,979.05
"Global Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2022,979.05
"Canada Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2022,15953.47
"Current Measures","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2022,15953.47
"Global Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2022,15953.47
"Canada Net-zero","British Columbia","Natural Gas","Primary Fuel",2022,539.73
"Current Measures","British Columbia","Natural Gas","Primary Fuel",2022,539.73
"Global Net-zero","British Columbia","Natural Gas","Primary Fuel",2022,539.73
"Canada Net-zero","British Columbia","Oil","Primary Fuel",2022,36.46
"Current Measures","British Columbia","Oil","Primary Fuel",2022,36.46
"Global Net-zero","British Columbia","Oil","Primary Fuel",2022,36.46
"Canada Net-zero","British Columbia","Solar","Primary Fuel",2022,303.281
"Current Measures","British Columbia","Solar","Primary Fuel",2022,303.281
"Global Net-zero","British Columbia","Solar","Primary Fuel",2022,303.281
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2022,0
"Global Net-zero","British Columbia","Uranium","Primary Fuel",2022,0
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2022,702.25
"Current Measures","British Columbia","Wind","Primary Fuel",2022,702.25
"Global Net-zero","British Columbia","Wind","Primary Fuel",2022,702.25
"Canada Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2022,22
"Current Measures","Manitoba","Biomass / Geothermal","Primary Fuel",2022,22
"Global Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2022,22
"Canada Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2022,6072.69
"Current Measures","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2022,6072.69
"Global Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2022,6072.69
"Canada Net-zero","Manitoba","Natural Gas","Primary Fuel",2022,402.61
"Current Measures","Manitoba","Natural Gas","Primary Fuel",2022,402.61
"Global Net-zero","Manitoba","Natural Gas","Primary Fuel",2022,402.61
"Canada Net-zero","Manitoba","Oil","Primary Fuel",2022,37.3099999999999
"Current Measures","Manitoba","Oil","Primary Fuel",2022,37.31
"Global Net-zero","Manitoba","Oil","Primary Fuel",2022,37.31
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2022,6
"Current Measures","Manitoba","Solar","Primary Fuel",2022,6
"Global Net-zero","Manitoba","Solar","Primary Fuel",2022,6
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2022,0
"Global Net-zero","Manitoba","Uranium","Primary Fuel",2022,0
"Canada Net-zero","Manitoba","Wind","Primary Fuel",2022,258.65
"Current Measures","Manitoba","Wind","Primary Fuel",2022,258.65
"Global Net-zero","Manitoba","Wind","Primary Fuel",2022,258.65
"Canada Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2022,79.2
"Current Measures","New Brunswick","Biomass / Geothermal","Primary Fuel",2022,79.2
"Global Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2022,79.2
"Canada Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2022,541
"Current Measures","New Brunswick","Coal & Coke","Primary Fuel",2022,541
"Global Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2022,541
"Canada Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2022,960.98
"Current Measures","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2022,960.98
"Global Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2022,960.98
"Canada Net-zero","New Brunswick","Natural Gas","Primary Fuel",2022,550
"Current Measures","New Brunswick","Natural Gas","Primary Fuel",2022,550
"Global Net-zero","New Brunswick","Natural Gas","Primary Fuel",2022,550
"Canada Net-zero","New Brunswick","Oil","Primary Fuel",2022,1593.04
"Current Measures","New Brunswick","Oil","Primary Fuel",2022,1593.04
"Global Net-zero","New Brunswick","Oil","Primary Fuel",2022,1593.04
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2022,0.162
"Current Measures","New Brunswick","Solar","Primary Fuel",2022,0.162
"Global Net-zero","New Brunswick","Solar","Primary Fuel",2022,0.162
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2022,705
"Current Measures","New Brunswick","Uranium","Primary Fuel",2022,705
"Global Net-zero","New Brunswick","Uranium","Primary Fuel",2022,705
"Canada Net-zero","New Brunswick","Wind","Primary Fuel",2022,329
"Current Measures","New Brunswick","Wind","Primary Fuel",2022,329
"Global Net-zero","New Brunswick","Wind","Primary Fuel",2022,329
"Canada Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2022,7607.061
"Current Measures","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2022,7607.061
"Global Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2022,7607.061
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2022,251.5
"Current Measures","Newfoundland and Labrador","Natural Gas","Primary Fuel",2022,251.5
"Global Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2022,251.5
"Canada Net-zero","Newfoundland and Labrador","Oil","Primary Fuel",2022,769.55
"Current Measures","Newfoundland and Labrador","Oil","Primary Fuel",2022,769.55
"Global Net-zero","Newfoundland and Labrador","Oil","Primary Fuel",2022,769.55
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2022,0.015
"Current Measures","Newfoundland and Labrador","Solar","Primary Fuel",2022,0.015
"Global Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2022,0.015
"Canada Net-zero","Newfoundland and Labrador","Wind","Primary Fuel",2022,54.3
"Current Measures","Newfoundland and Labrador","Wind","Primary Fuel",2022,54.3
"Global Net-zero","Newfoundland and Labrador","Wind","Primary Fuel",2022,54.3
"Canada Net-zero","Nova Scotia","Biomass / Geothermal","Primary Fuel",2022,112.56
"Current Measures","Nova Scotia","Biomass / Geothermal","Primary Fuel",2022,112.56
"Global Net-zero","Nova Scotia","Biomass / Geothermal","Primary Fuel",2022,112.56
"Canada Net-zero","Nova Scotia","Coal & Coke","Primary Fuel",2022,1133
"Current Measures","Nova Scotia","Coal & Coke","Primary Fuel",2022,1133
"Global Net-zero","Nova Scotia","Coal & Coke","Primary Fuel",2022,1133
"Canada Net-zero","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2022,389.35
"Current Measures","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2022,389.35
"Global Net-zero","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2022,389.35
"Canada Net-zero","Nova Scotia","Natural Gas","Primary Fuel",2022,678
"Current Measures","Nova Scotia","Natural Gas","Primary Fuel",2022,678
"Global Net-zero","Nova Scotia","Natural Gas","Primary Fuel",2022,678
"Canada Net-zero","Nova Scotia","Oil","Primary Fuel",2022,222.3
"Current Measures","Nova Scotia","Oil","Primary Fuel",2022,222.3
"Global Net-zero","Nova Scotia","Oil","Primary Fuel",2022,222.3
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2022,0.365
"Current Measures","Nova Scotia","Solar","Primary Fuel",2022,0.365
"Global Net-zero","Nova Scotia","Solar","Primary Fuel",2022,0.365
"Canada Net-zero","Nova Scotia","Wind","Primary Fuel",2022,603.18
"Current Measures","Nova Scotia","Wind","Primary Fuel",2022,603.18
"Global Net-zero","Nova Scotia","Wind","Primary Fuel",2022,603.18
"Canada Net-zero","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2022,55.4805
"Current Measures","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2022,55.4805
"Global Net-zero","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2022,55.4805
"Canada Net-zero","Northwest Territories","Natural Gas","Primary Fuel",2022,7.8
"Current Measures","Northwest Territories","Natural Gas","Primary Fuel",2022,7.8
"Global Net-zero","Northwest Territories","Natural Gas","Primary Fuel",2022,7.8
"Canada Net-zero","Northwest Territories","Oil","Primary Fuel",2022,159
"Current Measures","Northwest Territories","Oil","Primary Fuel",2022,159
"Global Net-zero","Northwest Territories","Oil","Primary Fuel",2022,159
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2022,2.015
"Current Measures","Northwest Territories","Solar","Primary Fuel",2022,2.015
"Global Net-zero","Northwest Territories","Solar","Primary Fuel",2022,2.015
"Canada Net-zero","Northwest Territories","Wind","Primary Fuel",2022,13.2
